Region,District,Sentinel_Site
Dire Dawa,Legehare,LEGEHARE H/CENTER
Benishangul Gumz,Bambasi,BAMBASI H/CENTER
Tigray,Abergele (TG),YECHILA P/HOSPITAL
Amhara,Argoba,HARBU H/CENTER
Amhara,Jabi Tehnan,JINGA H/CENTER
SNNP,Shone Town,QORGA H/CENTER
Afar,Dubti,LOGIYA H/CENTER
Oromia,Ziway Dugda,BATU H/CENTER
South West Ethiopia,Mizan Aman town,MIZAN H/CENTER
Tigray,Tsimbla,ENDABAGUNA H/CENTER
Tigray,Sheraro town,SHERARO H/CENTER
Afar,Amibara,WORER H/CENTER
Tigray,Selekleka,SELEKLAKA H/CENTER
Amhara,Bahirdar Zuria,ANDASA H/CENTER
SNNP,Mirab Abaya,BIRBIRR H/CENTER
Sidama,Hawassa Zuria,GARA RIKATA H/CENTER
Amhara,Gondar town,WORETA H/CENTER
SNNP,Dila town,DILLA H/CENTER
Oromia,Omo Nada,ASENDABO H/CENTER
SNNP,Dila town,DILLA  H/CENTER
Gambela,Gog,ABOL H/CENTER